nosolver-5ag-1fires-mocked-1.log
1429
767
1220
1164
915
782
1111
881
998
882
nosolver-5ag-2fires-mocked-1.log
1982
1294
1584
1364
2363
1731
1425
1710
1400
1402
nosolver-5ag-3fires-mocked-1.log
3798
3298
3531
3503
3426
3398
3621
4038
3513
3137
nosolver-5ag-4fires-mocked-1.log
9311
7935
7391
7906
7613
7580
7570
7553
7565
7946
7586
7679
7827
7636
6873
nosolver-5ag-5fires-mocked-1.log
10703
10764
10599
9683
9818
10008
9786
9662
9821
9899
nosolver-5ag-6fires-mocked-1.log
16347
16334
18145
18385
18796
18567
17112
17604
18582
19272
nosolver-5ag-7fires-mocked-1.log
20714
20238
19516
19721
20487
20678
20248
20594
20303
19868
nosolver-5ag-8fires-mocked-1.log
28662
26811
27675
27554
28402
27966
27677
27041
27099
27606
withsolver-5ag-1fires-mocked-1.log
1012
164
184
76
101
72
68
64
138
83
105
withsolver-5ag-1fires-noext-mocked-1.log
1092
127
162
214
112
148
100
125
148
144
141
withsolver-5ag-2fires-mocked-1.log
1236
302
182
188
175
136
193
116
96
130
165
withsolver-5ag-2fires-noext-mocked-1.log
957
260
186
162
123
96
60
133
129
173
155
withsolver-5ag-3fires-mocked-1.log
1755
518
548
445
328
324
292
264
267
403
385
withsolver-5ag-3fires-noext-mocked-1.log
2283
593
220
361
440
489
203
239
231
224
271
withsolver-5ag-4fires-mocked-1.log
2899
2007
2369
1280
2303
2222
2192
2126
2149
1668
2133
withsolver-5ag-4fires-noext-mocked-1.log
2804
1511
1686
1629
1541
1228
1306
1239
1481
1586
1527
withsolver-5ag-5fires-mocked-1.log
8382
5754
6123
7334
7444
7012
6994
5945
5671
6008
7082
5793
5935
7821
7013
5820
7350
6838
5665
5880
6848
6949
6132
withsolver-5ag-5fires-noext-mocked-1.log
7945
5566
5826
5656
5940
5872
5260
5303
5465
5533
5384
withsolver-5ag-6fires-mocked-1.log
24745
22316
23468
22610
22744
19201
22215
22558
23143
22853
23145
withsolver-5ag-6fires-noext-mocked-1.log
18769
16783
17727
17402
17645
17006
16569
16723
17292
16884
17060
withsolver-5ag-7fires-mocked-1.log
137657
106611
112346
134431
106068
withsolver-5ag-7fires-noext-mocked-1.log
69619
62379
63156
62701
62235
65698
61788
61494
62885
65739
63180
withsolver-5ag-8fires-noext-mocked-1.log
117486
111627
111138
112017
108869
107070
105297
108824
108465
107750
106875
106263
